customer_id,customer_name,email,city,acquisition_channel,signup_date,customer_status,gender,age
C0062,Customer 62,customer62@mail.com,mumbai, referral ,2025-04-02,Actve,F,61.0
C0063,Customer 63,customer63@mail.com,Ahmedabad,Direct,2022-12-14,Active,F,58.0
C0064,Customer 64,customer64@mail.com,Mumbai, Ads ,2023-09-28,InActive,M,20.0
C0065,Customer 65,customer65@mail.com,Ahmedabad,Social,2022-05-30,Inactive,F,54.0
C0066,Customer 66,customer66@mail.com,Delhi, referral ,2024-10-09,Inactive,M,62.0
C0067,Customer 67,,DELHI,Organic,2024-05-20,InActive,M,62.0
C0068,Customer 68,customer68@mail.com,Mumbai,Social,2023-05-26,Active,F,47.0
C0069,Customer 69,customer69@mail.com,ahmedabad,Social,2023-10-12,Inactive,Other,50.0
C0070,Customer 70,customer70@mail.com,ahmedabad, referral ,2022-11-22,Inactive,F,33.0
C0071,Customer 71,customer71@mail.com,MUMBAI,Social,2024-09-19,InActive,F,63.0
C0072,Customer 72,customer72@mail.com,MUMBAI,Referral,2023-10-17,Active,M,42.0
C0073,Customer 73,customer73@mail.com,Delhi, Ads ,2022-05-12,Inactive,F,47.0
C0074,Customer 74,customer74@mail.com,mumbai, referral ,2024-03-08,Active,Other,18.0
C0075,Customer 75,customer75@mail.com,MUMBAI, referral ,2024-05-08,InActive,F,45.0
C0076,Customer 76,customer76@mail.com,Ahmedabad,Referral,2024-04-08,InActive,F,57.0
C0077,Customer 77,customer77@mail.com,Ahmedabad,Social,2025-03-01,Active,M,26.0
C0078,Customer 78,customer78@mail.com,mumbai,Organic,2023-06-17,Inactive,F,38.0
C0079,Customer 79,customer79@mail.com,Ahmedabad,Referral,2024-05-13,Actve,M,65.0
C0080,Customer 80,customer80@mail.com,MUMBAI, Ads ,2022-05-21,Active,M,30.0
C0081,Customer 81,customer81@mail.com,ahmedabad, Ads ,2023-05-04,InActive,F,54.0
C0082,Customer 82,customer82@mail.com,Ahmedabad,Direct,2023-06-09,Actve,M,65.0
C0083,Customer 83,customer83@mail.com,DELHI, Ads ,2023-09-30,Active,Other,
C0084,Customer 84,customer84@mail.com,Delhi, referral ,2024-03-23,InActive,M,58.0
C0085,Customer 85,customer85@mail.com,Delhi,Referral,2022-09-05,Active,F,60.0
C0086,Customer 86,customer86@mail.com,ahmedabad,Direct,2023-11-30,Active,F,24.0
C0087,Customer 87,customer87@mail.com,MUMBAI,Direct,2024-07-30,InActive,F,51.0
C0088,Customer 88,customer88@mail.com,MUMBAI,Social,2025-01-07,Inactive,F,64.0
C0089,Customer 89,customer89@mail.com,MUMBAI, Ads ,2022-06-27,Actve,F,47.0
C0090,Customer 90,customer90@mail.com,Delhi, referral ,2023-11-20,Active,F,29.0
C0091,Customer 91,customer91@mail.com,MUMBAI,Referral,2023-11-29,Actve,Other,35.0
C0092,Customer 92,customer92@mail.com,ahmedabad, Ads ,2022-06-25,InActive,Other,53.0
C0093,Customer 93,customer93@mail.com,Delhi, referral ,2024-10-02,Inactive,M,32.0
C0094,Customer 94,customer94@mail.com,mumbai,Referral,2025-04-06,Actve,F,40.0
C0095,Customer 95,customer95@mail.com,Delhi,Social,2023-11-09,Actve,Other,37.0
C0096,Customer 96,customer96@mail.com,Mumbai,Direct,2023-01-30,Actve,M,62.0
C0097,Customer 97,customer97@mail.com,mumbai,Direct,2024-09-18,Actve,Other,51.0
C0098,Customer 98,customer98@mail.com,Mumbai, Ads ,2023-08-30,InActive,F,18.0
C0099,Customer 99,customer99@mail.com,mumbai,Referral,2022-04-04,Active,Other,26.0
C0100,Customer 100,customer100@mail.com,DELHI, referral ,2022-07-30,Active,Other,48.0
C0101,Customer 101,customer101@mail.com,mumbai,Organic,2023-06-02,Inactive,M,43.0
C0102,Customer 102,customer102@mail.com,ahmedabad,Direct,2022-04-20,InActive,M,37.0
C0103,Customer 103,customer103@mail.com,mumbai,Organic,2025-02-16,Inactive,Other,57.0
C0104,Customer 104,customer104@mail.com,ahmedabad, referral ,2024-07-11,Inactive,F,45.0
C0105,Customer 105,customer105@mail.com,ahmedabad,Organic,2022-07-23,InActive,Other,60.0
C0106,Customer 106,customer106@mail.com,mumbai, Ads ,2025-02-04,Active,M,
C0107,Customer 107,customer107@mail.com,ahmedabad, referral ,2023-08-20,Active,M,36.0
C0108,Customer 108,customer108@mail.com,Ahmedabad,Organic,2023-04-24,Actve,Other,30.0
C0109,Customer 109,customer109@mail.com,ahmedabad, Ads ,2022-11-02,Actve,M,28.0
C0110,Customer 110,customer110@mail.com,ahmedabad,Direct,2025-03-11,Actve,F,62.0
C0111,Customer 111,customer111@mail.com,Ahmedabad,Referral,2024-10-21,Inactive,F,20.0
C0112,Customer 112,customer112@mail.com,Delhi,Referral,2023-05-28,Active,M,61.0
C0113,Customer 113,customer113@mail.com,ahmedabad,Social,2022-02-12,Actve,Other,29.0
C0114,Customer 114,customer114@mail.com,Delhi, referral ,2023-07-24,InActive,Other,49.0
C0115,Customer 115,customer115@mail.com,Ahmedabad,Referral,2024-04-16,Actve,F,28.0
C0116,Customer 116,customer116@mail.com,Delhi, referral ,2023-08-14,Inactive,Other,23.0
C0117,Customer 117,customer117@mail.com,MUMBAI,Organic,2024-04-07,Active,Other,47.0
C0118,Customer 118,customer118@mail.com,mumbai,Social,2024-01-11,Inactive,Other,21.0
C0119,Customer 119,customer119@mail.com,ahmedabad, Ads ,2023-08-13,Inactive,Other,19.0
C0120,Customer 120,customer120@mail.com,ahmedabad, Ads ,2022-11-21,Actve,Other,
C0121,Customer 121,customer121@mail.com,mumbai,Organic,2024-08-03,Active,Other,49.0
C0122,Customer 122,customer122@mail.com,MUMBAI,Social,2023-07-14,Inactive,F,33.0
C0123,Customer 123,customer123@mail.com,mumbai, referral ,2023-01-26,InActive,M,44.0
C0124,Customer 124,customer124@mail.com,DELHI,Social,2023-07-02,Active,F,55.0
C0125,Customer 125,customer125@mail.com,Delhi, referral ,2022-11-01,Inactive,Other,39.0
C0126,Customer 126,customer126@mail.com,ahmedabad, referral ,2024-07-21,Actve,M,33.0
C0127,Customer 127,customer127@mail.com,mumbai, referral ,2022-03-31,Actve,Other,42.0
C0128,Customer 128,customer128@mail.com,Delhi,Direct,2022-11-08,Inactive,M,55.0
C0129,Customer 129,customer129@mail.com,Mumbai, referral ,2022-07-24,Inactive,M,44.0
C0130,Customer 130,customer130@mail.com,mumbai,Organic,2024-08-19,Actve,F,43.0
C0131,Customer 131,customer131@mail.com,DELHI,Referral,2024-12-28,Inactive,F,49.0
C0132,Customer 132,customer132@mail.com,Mumbai,Social,2022-05-21,InActive,Other,36.0
C0133,Customer 133,customer133@mail.com,Delhi,Organic,2024-06-07,Active,Other,24.0
C0134,Customer 134,customer134@mail.com,Delhi,Referral,2022-03-01,Active,F,36.0
C0135,Customer 135,customer135@mail.com,Ahmedabad, Ads ,2023-05-16,Inactive,Other,29.0
C0136,Customer 136,customer136@mail.com,Mumbai,Social,2024-02-23,InActive,F,27.0
C0137,Customer 137,customer137@mail.com,Delhi,Referral,2024-07-30,Actve,Other,
C0138,Customer 138,customer138@mail.com,MUMBAI,Direct,2025-01-24,InActive,M,40.0
C0139,Customer 139,customer139@mail.com,MUMBAI,Direct,2024-05-18,Actve,F,30.0
C0140,Customer 140,customer140@mail.com,DELHI, referral ,2022-08-07,InActive,F,54.0
C0141,Customer 141,customer141@mail.com,Delhi,Referral,2022-02-14,Inactive,F,
C0142,Customer 142,customer142@mail.com,DELHI,Direct,2022-04-11,Inactive,F,32.0
C0143,Customer 143,customer143@mail.com,MUMBAI, Ads ,2023-01-25,Actve,Other,60.0
C0144,Customer 144,customer144@mail.com,mumbai,Direct,2022-07-18,Active,F,20.0
C0145,Customer 145,customer145@mail.com,Delhi, Ads ,2022-07-04,Actve,F,29.0
C0146,Customer 146,customer146@mail.com,DELHI,Social,2024-01-20,Actve,M,48.0
C0147,Customer 147,customer147@mail.com,MUMBAI,Direct,2023-11-25,Active,F,27.0
C0148,Customer 148,customer148@mail.com,mumbai,Direct,2024-03-24,Actve,M,18.0
C0149,Customer 149,customer149@mail.com,Mumbai, referral ,2024-01-25,Actve,Other,58.0
C0150,Customer 150,customer150@mail.com,Mumbai,Direct,2023-04-24,Inactive,M,53.0
C0151,Customer 151,customer151@mail.com,ahmedabad, Ads ,2022-05-10,Inactive,Other,44.0
C0152,Customer 152,customer152@mail.com,Mumbai,Organic,2023-09-16,Inactive,M,52.0
C0153,Customer 153,customer153@mail.com,Ahmedabad,Referral,2025-01-11,Inactive,Other,27.0
C0154,Customer 154,customer154@mail.com,Delhi,Organic,2024-09-29,Inactive,F,41.0
C0155,Customer 155,customer155@mail.com,Ahmedabad, Ads ,2024-01-13,Active,Other,59.0
C0156,Customer 156,customer156@mail.com,Ahmedabad,Referral,2023-01-24,Active,F,31.0
C0157,Customer 157,customer157@mail.com,ahmedabad,Organic,2022-04-14,Actve,M,54.0
C0158,Customer 158,customer158@mail.com,DELHI,Social,2023-03-01,InActive,M,27.0
C0159,Customer 159,customer159@mail.com,ahmedabad,Organic,2023-07-22,InActive,M,29.0
C0160,Customer 160,customer160@mail.com,DELHI,Organic,2022-09-27,Active,F,33.0
C0161,Customer 161,customer161@mail.com,Mumbai, Ads ,2023-06-28,Active,M,51.0
C0162,Customer 162,customer162@mail.com,Mumbai, referral ,2024-07-07,Actve,Other,46.0
C0163,Customer 163,customer163@mail.com,ahmedabad,Organic,2024-12-03,Actve,F,19.0
C0164,Customer 164,customer164@mail.com,Ahmedabad, referral ,2024-05-23,Active,F,46.0
C0165,Customer 165,customer165@mail.com,Mumbai,Referral,2022-10-31,Active,M,58.0
C0166,Customer 166,customer166@mail.com,Delhi,Referral,2024-02-20,Actve,F,45.0
C0167,Customer 167,customer167@mail.com,Delhi,Organic,2025-02-03,InActive,F,32.0
C0168,Customer 168,customer168@mail.com,DELHI, referral ,2024-03-27,Inactive,Other,45.0
C0169,Customer 169,customer169@mail.com,MUMBAI,Referral,2022-11-09,Inactive,M,23.0
C0170,Customer 170,customer170@mail.com,Mumbai,Direct,2024-02-03,InActive,Other,53.0
C0171,Customer 171,customer171@mail.com,Delhi,Organic,2024-04-21,Actve,Other,45.0
C0172,Customer 172,customer172@mail.com,Delhi,Organic,2023-08-13,Actve,F,50.0
C0173,Customer 173,customer173@mail.com,Delhi, referral ,2023-04-05,Active,F,41.0
C0174,Customer 174,customer174@mail.com,MUMBAI,Social,2023-04-09,Inactive,Other,57.0
C0175,Customer 175,customer175@mail.com,Delhi,Social,2022-02-23,Actve,M,62.0
C0176,Customer 176,customer176@mail.com,MUMBAI,Referral,2022-01-13,InActive,M,43.0
C0177,Customer 177,customer177@mail.com,Delhi,Direct,2022-03-04,Active,Other,42.0
C0178,Customer 178,customer178@mail.com,MUMBAI, Ads ,2024-01-28,Actve,Other,54.0
C0179,Customer 179,customer179@mail.com,Mumbai, Ads ,2022-11-19,Active,Other,46.0
C0180,Customer 180,customer180@mail.com,Ahmedabad,Social,2024-06-24,Inactive,F,50.0
C0181,Customer 181,customer181@mail.com,Ahmedabad,Organic,2023-08-04,Inactive,Other,20.0
C0182,Customer 182,customer182@mail.com,ahmedabad,Organic,2022-01-16,InActive,F,26.0
C0183,Customer 183,customer183@mail.com,MUMBAI,Referral,2022-09-03,Active,F,29.0
C0184,Customer 184,customer184@mail.com,ahmedabad,Direct,2023-04-17,Actve,M,65.0
C0185,Customer 185,,Mumbai, referral ,2022-06-09,Actve,Other,43.0
C0186,Customer 186,customer186@mail.com,Ahmedabad,Referral,2022-08-24,Inactive,M,28.0
C0187,Customer 187,customer187@mail.com,ahmedabad, referral ,2024-01-12,Active,F,33.0
C0188,Customer 188,customer188@mail.com,Ahmedabad,Social,2022-06-11,Inactive,F,32.0
C0189,Customer 189,customer189@mail.com,mumbai,Organic,2024-11-11,Active,Other,40.0
C0190,Customer 190,customer190@mail.com,DELHI,Direct,2022-10-30,InActive,M,30.0
C0191,Customer 191,customer191@mail.com,mumbai,Direct,2022-06-04,InActive,Other,54.0
C0192,Customer 192,customer192@mail.com,Ahmedabad,Direct,2025-03-02,Actve,Other,46.0
C0193,Customer 193,customer193@mail.com,Ahmedabad,Direct,2023-09-13,Actve,Other,50.0
C0194,Customer 194,customer194@mail.com,Ahmedabad, referral ,2022-03-19,Active,F,22.0
C0195,Customer 195,customer195@mail.com,DELHI,Organic,2024-11-04,Inactive,F,65.0
C0196,Customer 196,customer196@mail.com,Ahmedabad,Social,2023-01-21,Actve,Other,27.0
C0197,Customer 197,customer197@mail.com,Ahmedabad,Organic,2023-12-05,Active,Other,20.0
C0198,Customer 198,customer198@mail.com,Ahmedabad, referral ,2024-12-09,InActive,F,36.0
C0199,Customer 199,customer199@mail.com,DELHI,Referral,2022-04-18,Actve,M,53.0
C0200,Customer 200,customer200@mail.com,MUMBAI,Referral,2022-11-04,Actve,M,27.0
C0201,Customer 201,customer201@mail.com,MUMBAI,Direct,2024-03-13,InActive,Other,23.0
C0202,Customer 202,customer202@mail.com,Ahmedabad,Direct,2023-11-04,InActive,Other,65.0
C0203,Customer 203,customer203@mail.com,ahmedabad,Organic,2024-05-17,Actve,M,29.0
C0204,Customer 204,customer204@mail.com,MUMBAI, referral ,2023-01-29,InActive,M,36.0
C0205,Customer 205,customer205@mail.com,Mumbai,Social,2025-01-10,Active,Other,57.0
C0206,Customer 206,customer206@mail.com,Ahmedabad, Ads ,2022-11-29,InActive,Other,28.0
C0207,Customer 207,customer207@mail.com,Mumbai, referral ,2024-01-17,InActive,F,65.0
C0208,Customer 208,customer208@mail.com,mumbai,Social,2023-05-05,Actve,F,30.0
C0209,Customer 209,customer209@mail.com,ahmedabad, referral ,2024-08-03,Actve,F,44.0
C0210,Customer 210,customer210@mail.com,DELHI, Ads ,2022-10-11,Actve,M,41.0
C0211,Customer 211,customer211@mail.com,Mumbai,Direct,2024-11-22,Active,F,28.0
C0212,Customer 212,customer212@mail.com,ahmedabad, Ads ,2024-06-14,Active,M,40.0
C0213,Customer 213,customer213@mail.com,Ahmedabad,Organic,2024-03-22,Actve,M,23.0
C0214,Customer 214,customer214@mail.com,Mumbai,Referral,2022-07-22,Actve,M,36.0
C0215,Customer 215,customer215@mail.com,Ahmedabad,Direct,2022-10-12,Inactive,F,23.0
C0216,Customer 216,,mumbai, Ads ,2025-01-28,Inactive,M,33.0
C0217,Customer 217,customer217@mail.com,Mumbai, Ads ,2024-05-09,Inactive,M,49.0
C0218,Customer 218,customer218@mail.com,Mumbai,Direct,2024-11-21,InActive,Other,45.0
C0219,Customer 219,,MUMBAI, Ads ,2025-03-14,Inactive,M,23.0
C0220,Customer 220,customer220@mail.com,MUMBAI,Organic,2024-12-13,Active,F,20.0
C0221,Customer 221,customer221@mail.com,MUMBAI,Referral,2022-02-03,Actve,M,64.0
C0222,Customer 222,customer222@mail.com,Mumbai,Social,2023-11-12,InActive,M,39.0
C0223,Customer 223,customer223@mail.com,mumbai,Direct,2024-08-09,Inactive,Other,26.0
C0224,Customer 224,customer224@mail.com,DELHI, referral ,2022-03-17,Actve,M,30.0
C0225,Customer 225,customer225@mail.com,MUMBAI,Referral,2024-11-21,Inactive,Other,20.0
C0226,Customer 226,customer226@mail.com,mumbai,Referral,2024-01-02,Active,Other,25.0
C0227,Customer 227,customer227@mail.com,Ahmedabad, referral ,2024-06-19,Inactive,F,49.0
C0228,Customer 228,customer228@mail.com,MUMBAI,Social,2023-07-01,Active,Other,45.0
C0229,Customer 229,customer229@mail.com,DELHI, Ads ,2025-01-22,Actve,F,38.0
C0230,Customer 230,customer230@mail.com,MUMBAI, referral ,2024-05-22,InActive,Other,46.0
C0231,Customer 231,,DELHI,Referral,2024-06-09,Actve,Other,21.0
C0232,Customer 232,customer232@mail.com,Delhi, referral ,2024-01-15,InActive,M,56.0
C0233,Customer 233,customer233@mail.com,Ahmedabad,Organic,2022-09-16,Active,M,41.0
C0234,Customer 234,customer234@mail.com,ahmedabad,Organic,2022-11-11,Inactive,F,22.0
C0235,Customer 235,customer235@mail.com,ahmedabad,Referral,2024-03-26,Actve,Other,25.0
C0236,Customer 236,,mumbai, referral ,2024-11-26,Inactive,Other,34.0
C0237,Customer 237,customer237@mail.com,mumbai,Social,2023-08-08,Inactive,M,22.0
C0238,Customer 238,customer238@mail.com,Delhi, referral ,2022-06-29,Actve,Other,22.0
C0239,Customer 239,customer239@mail.com,MUMBAI,Referral,2022-11-19,InActive,F,25.0
C0240,Customer 240,customer240@mail.com,DELHI, Ads ,2023-04-30,Inactive,M,54.0
C0241,Customer 241,customer241@mail.com,DELHI,Social,2022-09-23,Active,M,63.0
C0242,Customer 242,customer242@mail.com,ahmedabad, referral ,2024-04-18,Active,M,59.0
C0243,Customer 243,customer243@mail.com,Ahmedabad,Direct,2024-11-25,Actve,M,53.0
C0244,Customer 244,customer244@mail.com,mumbai, Ads ,2024-06-05,Active,M,37.0
C0245,Customer 245,customer245@mail.com,MUMBAI,Direct,2023-04-07,Actve,Other,23.0
C0246,Customer 246,customer246@mail.com,Delhi,Social,2023-07-17,InActive,Other,52.0
C0247,Customer 247,customer247@mail.com,Delhi, Ads ,2025-04-04,InActive,M,64.0
C0248,Customer 248,customer248@mail.com,MUMBAI,Social,2022-03-26,Active,M,59.0
C0249,Customer 249,customer249@mail.com,MUMBAI,Direct,2023-03-08,Inactive,Other,49.0
C0250,Customer 250,customer250@mail.com,ahmedabad,Referral,2023-09-11,Inactive,M,61.0
C0251,Customer 251,customer251@mail.com,Ahmedabad,Organic,2022-05-03,InActive,F,47.0
C0252,Customer 252,customer252@mail.com,ahmedabad, Ads ,2023-10-03,Actve,Other,40.0
C0253,Customer 253,customer253@mail.com,mumbai,Referral,2024-11-20,Active,F,25.0
C0254,Customer 254,customer254@mail.com,mumbai, Ads ,2022-07-18,Active,F,57.0
C0255,Customer 255,customer255@mail.com,DELHI, Ads ,2023-11-02,Actve,M,49.0
C0256,Customer 256,customer256@mail.com,Ahmedabad, referral ,2023-09-24,Inactive,M,43.0
C0257,Customer 257,customer257@mail.com,mumbai, Ads ,2025-04-09,Actve,M,49.0
C0258,Customer 258,customer258@mail.com,DELHI,Direct,2024-08-21,Actve,Other,
C0259,Customer 259,customer259@mail.com,mumbai,Referral,2024-01-20,Inactive,F,21.0
C0260,Customer 260,customer260@mail.com,mumbai,Referral,2025-02-07,Actve,M,46.0
C0261,Customer 261,customer261@mail.com,MUMBAI,Social,2022-09-01,InActive,M,39.0
C0262,Customer 262,customer262@mail.com,MUMBAI, Ads ,2023-02-12,Inactive,Other,20.0
C0263,Customer 263,customer263@mail.com,MUMBAI, referral ,2024-11-29,Inactive,M,50.0
C0264,Customer 264,customer264@mail.com,ahmedabad,Referral,2022-11-29,Inactive,Other,37.0
C0265,Customer 265,customer265@mail.com,ahmedabad,Social,2024-12-26,Inactive,Other,48.0
C0266,Customer 266,customer266@mail.com,MUMBAI,Referral,2022-08-13,Inactive,Other,64.0
C0267,Customer 267,customer267@mail.com,Delhi,Organic,2024-08-29,Actve,Other,55.0
C0268,Customer 268,customer268@mail.com,Delhi,Organic,2025-04-10,Inactive,M,64.0
C0269,Customer 269,customer269@mail.com,DELHI, referral ,2022-10-30,InActive,M,62.0
C0270,Customer 270,customer270@mail.com,Mumbai, referral ,2023-10-05,Inactive,M,31.0
C0271,Customer 271,customer271@mail.com,DELHI,Social,2024-08-23,Active,Other,31.0
C0272,Customer 272,customer272@mail.com,Delhi, referral ,2024-12-12,Inactive,F,47.0
C0273,Customer 273,customer273@mail.com,MUMBAI,Social,2023-12-27,Actve,Other,33.0
C0274,Customer 274,customer274@mail.com,MUMBAI, Ads ,2023-09-02,Actve,Other,63.0
C0275,Customer 275,customer275@mail.com,Ahmedabad,Referral,2025-02-21,Actve,F,61.0
C0276,Customer 276,customer276@mail.com,Ahmedabad,Referral,2022-10-27,Actve,M,63.0
C0277,Customer 277,customer277@mail.com,Ahmedabad,Direct,2023-06-10,Inactive,M,52.0
C0278,Customer 278,customer278@mail.com,ahmedabad,Direct,2023-07-11,InActive,M,55.0
C0279,Customer 279,customer279@mail.com,Mumbai,Direct,2024-12-23,InActive,Other,24.0
C0280,Customer 280,customer280@mail.com,Delhi, referral ,2022-07-25,InActive,M,28.0
C0281,Customer 281,customer281@mail.com,Ahmedabad, referral ,2023-02-13,Actve,F,21.0
C0282,Customer 282,customer282@mail.com,Mumbai,Direct,2025-03-21,InActive,Other,20.0
C0283,Customer 283,customer283@mail.com,mumbai, referral ,2022-12-27,Active,F,29.0
C0284,Customer 284,customer284@mail.com,DELHI,Referral,2022-03-18,Active,F,24.0
C0285,Customer 285,customer285@mail.com,MUMBAI,Referral,2024-07-19,Inactive,M,47.0
C0286,Customer 286,customer286@mail.com,DELHI,Organic,2023-11-09,InActive,Other,34.0
C0287,Customer 287,customer287@mail.com,Mumbai,Direct,2023-11-22,Actve,Other,30.0
C0288,Customer 288,customer288@mail.com,DELHI,Direct,2024-04-10,Inactive,Other,43.0
C0289,Customer 289,customer289@mail.com,mumbai, Ads ,2024-09-04,Actve,M,
C0290,Customer 290,customer290@mail.com,Ahmedabad,Referral,2023-11-07,Actve,Other,18.0
C0291,Customer 291,customer291@mail.com,MUMBAI,Direct,2023-04-29,Active,Other,37.0
C0292,Customer 292,customer292@mail.com,Delhi,Social,2023-09-29,Active,Other,36.0
C0293,Customer 293,customer293@mail.com,mumbai, Ads ,2022-10-01,Inactive,M,56.0
C0294,Customer 294,customer294@mail.com,Delhi,Social,2024-08-22,InActive,M,56.0
C0295,Customer 295,customer295@mail.com,Mumbai,Social,2024-07-03,Actve,M,25.0
C0296,Customer 296,customer296@mail.com,ahmedabad,Social,2023-02-19,InActive,M,51.0
C0297,Customer 297,customer297@mail.com,Delhi, Ads ,2025-04-09,Inactive,M,46.0
C0298,Customer 298,customer298@mail.com,Ahmedabad, Ads ,2024-11-17,Inactive,F,53.0
C0299,Customer 299,customer299@mail.com,DELHI,Referral,2022-02-14,Inactive,F,65.0
C0300,Customer 300,customer300@mail.com,Mumbai,Organic,2024-05-17,Actve,Other,21.0
